question,answer,unit,category,funFact
Maximum recorded age of a Greenland shark (in years),392,years,Weird Facts,Could have witnessed both world wars and the entire history of the United States.
"Percent of all internet traffic that comes from bots (not humans, 2024 estimate)",50,percent,Weird Facts,Half of the internet is robots talking to robots.
"Number of emails sent globally per day (billions, 2024)",350,billion,Weird Facts,Of which roughly 50% are spam. We're flooding the planet in 'unsubscribe' buttons.
"Number of Google searches performed per minute globally (millions, 2024)",5,million,Weird Facts,8.5 billion searches daily. Most asking 'how to peel a mango'.
Percent of US adults who admit to using their phone on the toilet,75,percent,Weird Facts,Studies suggest the average bathroom phone session lasts 8 minutes.
Number of pages of Terms of Service the average internet user agrees to per year (2024),750,pages,Weird Facts,Reading them all would take 76 working days. Nobody does.
Number of advertisements the average American sees per day (commonly cited),5000,ads,Weird Facts,Up from 500 in the 1970s. Our brains are basically marinated in marketing.
Maximum decibel level of a tiger's roar,114,decibels,Weird Facts,Louder than a rock concert. Can be heard 3km away.
Number of nuclear weapons in the world's combined arsenal (2024 estimate),12500,weapons,Weird Facts,About 90% are owned by USA and Russia. Surprisingly low compared to Cold War peak.
Number of nuclear weapons at the Cold War peak (1986),70000,weapons,Weird Facts,"Imagine wanting to end the world 70,000 different ways."
"Number of countries with nuclear weapons (officially declared, 2024)",9,countries,Weird Facts,"USA, Russia, UK, France, China, India, Pakistan, Israel, North Korea. The club nobody admits being in."
Average percentage of Spotify revenue that goes to artists (commonly cited) (2024),4,percent,Weird Facts,Most of the rest goes to labels and the platform. Streaming math is brutal.
"Average payout to artists per Spotify stream (USD, commonly cited)",4,cents,Weird Facts,"Average per 1,000 streams: $4. Yes, the decimal is right."
Cost of a single golf membership at Augusta National Golf Club (USD) (2024),250000,USD,Price,And you need to be invited to even apply. Tiger Woods is technically a guest.
"Cost of a Hermès Birkin handbag with crocodile leather (USD, top tier) (2024)",500000,USD,Price,The waitlist is years long. The bag costs more than most homes.
Cost of the most expensive Big Mac on Earth in Switzerland (USD 2024),8,USD,Price,"While in the US it's $5.50, in Venezuela it's $2.20. Same bun, different reality."
Cost of a single ticket on Virgin Galactic spaceflight (USD) (2024),450000,USD,Price,"Suborbital flight, about 4 minutes of weightlessness. You'd think it includes lunch."
Cost of a single ChatGPT Plus monthly subscription (USD) (2024),20,USD,Price,"Cheap until you realize Anthropic, Google, and Microsoft are all charging this too."
"Cost of Costco's famous rotisserie chicken (USD, 2024)",5,USD,Price,Hasn't changed in 15 years despite inflation. Costco eats the loss intentionally.
"Cost of Costco's hot dog + soda combo (USD, since 1985)",2,USD,Price,The CEO once said he'd 'kill' anyone who raised the price. Truly sacred.
"Cost of one EpiPen 2-pack in the US without insurance (USD, 2024)",700,USD,Price,Same EpiPen costs $100 in Canada. The active ingredient costs $2.
"Cost of an ambulance ride in the US without insurance (average, USD) (2024)",1200,USD,Price,"Some bills exceed $3,000. For a ride."
"Cost of a single stitch at a US emergency room (average, USD) (2024)",200,USD,Price,"Plus facility fees, equipment fees, and 'why are you here' fees."
"Average cost of one US college textbook (USD, 2024)",105,USD,Price,"Up from $50 in 2000. Students often pirate, professors look the other way."
"Annual cost of Harvard tuition + room + board (USD, 2024)",79450,USD,Price,Per year. For 4 years. Plus a JD or MBA usually. Yikes.
"Cost of one Tesla Cybertruck in foundation series (USD, 2024)",100000,USD,Price,"Promised in 2019 at $39,900. Final cost: 2.5x more. Classic."
Cost of OpenAI ChatGPT Pro plan in USD monthly (2024),200,USD/month,Price,10x the regular subscription. For access to the smarter model.
Cost of the Cybertruck stainless steel single-piece body part replacement (USD) (2024),12000,USD,Price,"If you scratch it, you're replacing massive panels. Insurance laughs."
"Average resale price of a Super Bowl LVIII ticket in Las Vegas (USD, 2024)",9000,USD,Price,"Up from $6,000 average just 3 years prior. Inflation hits sports first."
Cost of a single courtside Lakers playoffs ticket in 2024 (USD average),2000,USD,Price,"And $8,000 if Kobe was playing. Now $4,000 for LeBron games."
Cost of a single FA Cup Final ticket at face value (GBP) (2024),145,GBP,Price,Cheapest seats in 2024. Resale: 10x that.
"Cost of the average US wedding (USD, 2024)",33000,USD,Price,"Up from $28,000 in 2018. Inflation tax on love."
"Cost of a Bangladeshi wedding in Dhaka (premium tier, USD equivalent) (2024)",50000,USD,Price,"But spread across 3+ events: holud, wedding, reception. Inflation of cousins."
Cost of the typical Indian wedding videographer in NYC for South Asian diaspora (USD) (2024),8000,USD,Price,"Plus drone footage, photo album, highlight reel, and feature film."
Price of one whole 1 kg+ Hilsa fish at Karwan Bazar peak season 2024 (BDT),1800,BDT,Price,One fish costs more than a week's worth of groceries for the average rural family.
Cost of a hand-pulled rickshaw ride 1 km in Dhaka (BDT) (2024),40,BDT,Price,Cheaper per km than ANY mode of transport in the world. And faster than CNG.
Cost of a 1L bottle of imported French Evian water in Dhaka 2024 (BDT),600,BDT,Price,30x the price of local bottled water. For molecules. Same wet.
Cost of a single chocolate truffle at Cooper's Bakery Dhaka 2024 (BDT),90,BDT,Price,Cooper's truffles became status pastries for Dhaka's elite.
Cost of a single 'pakora' at a local Iftar stall in Dhaka 2024 (BDT),5,BDT,Price,Per piece. You'd need 30 to fill up. Math the maths.
"Cost of cheapest functioning smartphone in Bangladesh (BDT, Symphony brand) (2024)",4500,BDT,Price,Less than $40. Bangladesh has aggressive smartphone affordability.
Cost of a 1lb bag of Bangladeshi 'kalo jira' (nigella seeds) at NYC desi grocery (USD) (2024),12,USD,Price,Costs 200 BDT in Dhaka. Markup justifies the diaspora premium.
"Cost of a single goat for Eid-ul-Adha in Dhaka 2024 (BDT, average)",30000,BDT,Price,Premium goats from Pabna fetch up to 5x more. Goat economics is intense.
Cost of a 'premium' Eid cow in Bangladesh 2024 (BDT lakh range),5,lakh BDT,Price,Plus social media flexes. The Instagram-worthy ones cost double.
Cost of 5 McDonald's apple pies at the US menu price (2024),13,USD,Price,Same apple pies cost ~$1 in 2010. Inflation eats memory first.
"Cost of one Starbucks Pumpkin Spice Latte (Grande) in NYC (USD, 2024)",6,USD,Price,An entire cottage industry depends on this drink existing.
"Cost of cheapest fast food meal at McDonald's USA (single item, 2024)",5,USD,Price,The 'dollar menu' is officially dead. May it rest in price.
Cost of paying off a single US college loan in monthly minimum payments to finish (years) (2024),21,years,Price,Average payoff timeline for US federal loans. Often longer.
"Cost of one Caviar custom iPhone 16 Pro Max gold edition (USD, 2024)",18000,USD,Price,Same internals as a regular iPhone. Different bling.
"Cost of one IKEA Billy bookcase (USD, 2024)",80,USD,Price,Sold continuously since 1979. 60 million Billys sold worldwide.
Number of IKEA Allen wrenches discarded per year globally (millions) (2024),8,million,Price,Each comes free with furniture. Most are lost or thrown out within a month.
Cost of one Tesla Cybertruck after dealer markup at launch (USD) (2024),250000,USD,Price,Some dealers charged 2-3x MSRP. Tesla wasn't happy. Buyers paid anyway.
"Cost of one slice at a NYC dollar pizza spot (USD, 2024)",2,USD,Price,From $1 to $2 over 15 years. The 'dollar slice' is functionally dead.
"Cost of one MetroCard ride in NYC (USD, 2024)",3,USD,Price,Up from $1.50 in 2003. Each ride costs the MTA about $2 to provide.
"Average monthly rent for a 1-bedroom in Manhattan (USD, 2024)",4500,USD,Price,"Equivalent to a luxury Dhaka apartment, or 4 NYC studios in Brooklyn."
Average annual property tax on a $1M NYC home (USD),13000,USD,Price,"Plus maintenance fees, plus assessments, plus pure suffering."
"Number of bKash transactions per day in Bangladesh (millions, 2024)",10,million,Price,More transactions than most banking systems handle globally.
Average value of a single bKash transaction in BDT,1500,BDT,Price,Bangladesh has built an entire mobile economy on micro-transfers.
Annual fee for a premium Banglalink corporate plan in BDT (2024),25000,BDT,Price,"Includes unlimited talk, 100GB data, and roaming in 5 countries."
"Cost of one premium Cox's Bazar 5-star hotel night during peak season (BDT, 2024)",25000,BDT,Price,"Same room costs 6,000 BDT off-season. Tourism math."
Percentage of car drivers globally who think they are 'above average' drivers,90,percent,Weird Facts,Statistically impossible. The Dunning-Kruger effect's most famous example.
Number of New Year's resolutions kept past February 1st (percent of people),23,percent,Weird Facts,"By July, only 8% are still going. By December, basically nobody."
Percent of Americans who can't name all 50 US states,49,percent,Weird Facts,Even with the map in front of them. State pride is overrated apparently.
Percent of Americans who think the Sun orbits the Earth (NSF survey),25,percent,Weird Facts,Galileo would like a word.
Percent of US adults who can correctly point to Ukraine on a map (2014 survey),16,percent,Weird Facts,Some pointed to Australia. Some pointed to Greenland. Some to Antarctica.
Percent of self-described 'climate change deniers' who own beachfront property (commonly cited US stat),30,percent,Weird Facts,Yet they still complain about insurance going up. Mysterious.
Average number of times an American moves homes in a lifetime,12,times,Weird Facts,More than people in any other developed country. Restless souls.
Number of empty rooms in the British royal Buckingham Palace (commonly cited),240,rooms,Weird Facts,Out of 775 total. Imagine the cleaning bill.
"Number of plastic surgery procedures performed in South Korea per year (millions, estimate) (2024)",1,million,Weird Facts,South Korea has the highest per-capita rate of cosmetic surgery in the world.
Percent of plastic surgery patients in South Korea who get double-eyelid surgery,50,percent,Weird Facts,It's the world's most common plastic surgery procedure.
Percent of people who say they read the Terms of Service before clicking 'Agree',1,percent,Weird Facts,And most of those 1% are lying.
Percent of Bangladeshi gold imported that allegedly comes via smuggling,80,percent,Desh,"Despite official imports being a fraction, BD jewelry stores never seem to run out of gold."
Number of times Eid prayers occur per year in Bangladesh (Eid-ul-Fitr + Eid-ul-Adha) (2024),2,times,Desh,But there's always 'someone's house' to visit afterwards for 2 weeks.
Number of cousins the average Bangladeshi has on each parent's side (commonly cited),25,cousins,Desh,Bengali family trees have more nodes than your computer.
"Number of countries in the world with no McDonald's (as of 2024, rounded)",100,countries,Global,"Including Iran, Iceland, Bermuda, and Bolivia. Big Mac diplomacy has limits."
Percent of US adults who say they would pay more to NEVER see another ad (2024 survey),75,percent,Global,"Yet we still scroll past 5,000 ads a day. Internal contradiction much?"
"Maximum number of Whoppers Burger King has ever sold in a single day globally (estimate, millions)",2,million,Price,On peak days like Black Friday or 'Free Whopper' promotions.
Percent of US iPhones bought on a payment plan / financing (commonly cited 2024),70,percent,Price,Apple's interest-free financing turned phones into mini-mortgages.
Number of cars on US roads still operating with original 'Cash for Clunkers' rebates (2009 program),700000,cars,Price,Many recipients sold the new car within 3 years anyway.
Number of pieces of toilet paper the average American uses per day,57,sheets,Weird Facts,American TP usage is 3x the global average. Truly elite hygiene.
Percent of all the world's chocolate consumed by Switzerland (per capita rank) (2024),1,rank,Weird Facts,Swiss eat 9 kg per person per year. Twice the American rate.
Percent of Bangladesh's GDP lost annually to traffic congestion (commonly cited) (2024),7,percent,Desh,"Roughly Tk 50,000 crore per year. The price of just sitting in CNGs."
"Number of Bangladeshis who hold a passport (percent of population, 2024 estimate)",30,percent,Desh,"Despite the diaspora, most BD citizens have never crossed the border."
Number of administrative districts (zila) in Bangladesh,64,districts,Desh,The 64 districts sit under 8 divisions — the count has been unchanged since 1984.
"Total number of seats in the Jatiya Sangsad, including reserved seats",350,seats,Desh,300 are directly elected; 50 are reserved for women and allocated proportionally.
Year the Ekushey Boi Mela book fair was first held at Bangla Academy,1972,year,Desh,It began when a publisher spread out books on a sheet on the Bangla Academy grounds.
Height of the Jatiyo Sriti Shoudho (National Martyrs' Memorial) in metres,150,metres,Desh,Its seven pairs of triangular planes stand for seven milestones of the independence struggle.
Number of stairs on the main approach of Ahsan Manzil in Old Dhaka,37,stairs,Desh,"The Pink Palace faces the Buriganga, and the river steps were once its main entrance."
Number of rooms in the Ahsan Manzil museum open to visitors,23,rooms,Desh,The palace museum reopened to the public in 1992 after a long restoration.
"Number of players fielded by each side in a kabaddi match, Bangladesh's national sport",7,players,Desh,Kabaddi was declared the national sport in 1972; locally it is often called Ha-Du-Du.
Number of stanzas of 'Amar Sonar Bangla' officially used as the national anthem,10,lines,Desh,Tagore's original poem runs much longer; only the first ten lines are the anthem.
Number of Bangladeshi taka to one US dollar in 2015,78,BDT,Price,The taka has depreciated steadily since; it crossed 100 to the dollar in 2022.
Monthly minimum wage for a Bangladesh garment worker set in December 2023,12500,BDT,Price,The revised floor wage followed months of protests across the RMG sector.
Cost of a single-journey Dhaka Metro ticket from Uttara North to Motijheel (2024),100,BDT,Price,"The minimum metro fare is 20 taka, with fares scaling by distance travelled."
Price of a plate of kacchi biryani at a mid-range Dhaka restaurant (2024),350,BDT,Price,Old Dhaka's kacchi tradition traces back to the Mughal kitchens of the region.
Cost of a 1kg packet of Igloo or Polar vanilla ice cream in Dhaka (2024),550,BDT,Price,Bangladesh's packaged ice-cream market has grown sharply with cold-chain expansion.
Price of a monthly student bus pass on a Dhaka University shuttle route (2024),200,BDT,Price,Subsidised transport is a major reason students commute from across the city.
Cost of a haircut at an ordinary neighbourhood barber in Dhaka (2024),120,BDT,Price,Salon prices in Gulshan or Banani can run five to ten times the para rate.
Price of one kilogram of Kalijira rice in a Dhaka retail market (2024),130,BDT,Price,Kalijira is a small aromatic rice prized for polao and payesh.
Cost of one Shingara at a roadside tea stall in Dhaka (2024),10,BDT,Price,The shingara and the cha stall are the backbone of Dhaka's street snacking.
Number of goals Cristiano Ronaldo scored for Real Madrid in all competitions,450,goals,Sports,He reached the mark in 438 appearances across nine seasons at the club.
Length of an Olympic swimming pool in metres,50,metres,Sports,Short-course world records are set in 25-metre pools and tracked separately.
Number of holes played in a standard round of golf,18,holes,Sports,The 18-hole round was standardised at St Andrews in the 18th century.
"Distance of a marathon in kilometres, rounded to the nearest whole number",42,km,Sports,"The exact distance is 42.195 km, fixed at the 1908 London Olympics."
Number of countries that competed at the Tokyo 2020 Olympic Games,206,countries,Sports,The Games were held in 2021 but kept the Tokyo 2020 branding.
Height of a basketball hoop above the floor in centimetres,305,cm,Sports,"That is exactly 10 feet, unchanged since James Naismith nailed up a peach basket."
Number of Grand Slam singles titles won by Serena Williams,23,titles,Sports,"It is the most in the Open Era for any player, man or woman."
Number of bones in the adult human body,206,bones,Weird Facts,Babies are born with around 270; many fuse together during growth.
Number of keys on a standard full-size piano,88,keys,Weird Facts,"52 are white and 36 are black, spanning just over seven octaves."
Time in minutes for sunlight to travel from the Sun to Earth,8,minutes,Weird Facts,"More precisely about 8 minutes 20 seconds, at roughly 150 million km."
Boiling point of water at sea level in degrees Fahrenheit,212,°F,Weird Facts,Water boils at a lower temperature as altitude rises and pressure drops.
"Number of muscles it takes to smile, by the common estimate",12,muscles,Weird Facts,"Counts vary by anatomist, which is why the frown-versus-smile claim is so slippery."
Number of chambers in a cow's stomach,4,chambers,Weird Facts,"The rumen, reticulum, omasum and abomasum let cattle digest grass."
Average number of hairs on a human head,100000,hairs,Weird Facts,Redheads tend to have the fewest strands but the thickest individual hairs.
"Depth of the Mariana Trench at its deepest point, in metres",10935,metres,Weird Facts,Everest could be dropped in and its summit would still sit far below the surface.
Percentage of the Earth's surface covered by water,71,percent,Weird Facts,About 97% of that water is saltwater held in the oceans.
Number of member states in the United Nations,193,countries,Global,"South Sudan was the most recent to join, in 2011."
Height of the Burj Khalifa in metres,828,metres,Global,It has held the title of world's tallest building since opening in 2010.
"Length of the Great Wall of China in kilometres, by the official survey",21196,km,Global,The 2012 survey counted every branch and spur built across many dynasties.
Number of moons orbiting Mars,2,moons,Global,"Phobos and Deimos are small and lumpy, probably captured asteroids."
"Number of keys in a standard octave on a piano, black and white combined",12,keys,Global,Seven white and five black make up the twelve semitones of Western tuning.
Population of Tokyo's greater metropolitan area in millions (2024),37,million people,Global,It has been the world's largest metropolitan area for decades.
Number of official working languages of the United Nations,6,languages,Global,"Arabic, Chinese, English, French, Russian and Spanish."
Distance of the Earth from the Sun in millions of kilometres,150,million km,Global,"This distance defines one astronomical unit, the yardstick of the solar system."
Number of time zones spanned by Russia,11,time zones,Global,France edges it worldwide once overseas territories are counted.
